valor,unidadeDeMedida,dataHora,descricao,tipo
13,MB,"2024-11-24 20:52:33",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:52:33",BytesRecebidos,"Placa de Rede"
475,GB,"2024-11-24 20:52:33","Armazenamento Total",Armazenamento
7.4,GB,"2024-11-24 20:52:33","Memória RAM Total",Memória
461,GB,"2024-11-24 20:52:34","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:52:34","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:52:34","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:52:34","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:52:34","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:52:36","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:52:36","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:52:36","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:52:36","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:52:36","Perda de Pacotes","Placa de Rede"
13,MB,"2024-11-24 20:52:38",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:52:38",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:52:38","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:52:38","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:52:38","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:52:38","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:52:38","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:52:40","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:52:40","Uso de Memória RAM",Memória
4,%,"2024-11-24 20:52:40","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:52:40","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:52:40","Perda de Pacotes","Placa de Rede"
13,MB,"2024-11-24 20:53:15",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:53:15",BytesRecebidos,"Placa de Rede"
475,GB,"2024-11-24 20:53:15","Armazenamento Total",Armazenamento
7.4,GB,"2024-11-24 20:53:16","Memória RAM Total",Memória
461,GB,"2024-11-24 20:53:16","Uso de Armazenamento",Armazenamento
7,GB,"2024-11-24 20:53:16","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:53:16","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:53:16","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:53:16","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:53:18","Uso de Armazenamento",Armazenamento
7,GB,"2024-11-24 20:53:18","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:53:18","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:53:18","Alerta: Alta Frequencia do processador",Processador
